0: hba_num_21
1: arc_num_1
2: asc_num_10
3: hta_num_29
4: arc_num_0
5: arc_num_3
6: hta_num_37
7: hbd_num_18
8: arc_num_2
9: hbd_num_11
10: rotb_num_14
12: asc_num_15
13: asc_num_3
14: asc_num_8
15: hbd_num_9
16: rotb_num_31
17: rotb_num_25
18: hbd_num_20
19: htc_num_1
20: rotb_num_16
21: hta_num_26
22: rotb_num_41
23: htc_num_5
24: hta_num_16
25: rotb_num_28
26: hta_num_20
27: rotb_num_29
28: asc_num_5
29: hta_num_35
30: hta_num_10
31: rotb_num_10
32: rotb_num_2
33: hta_num_23
34: asc_num_13
35: hta_num_18
36: hba_num_5
37: hta_num_12
38: hbd_num_6
39: hba_num_18
41: rotb_num_6
42: hta_num_3
43: hta_num_22
44: hba_num_8
45: asc_num_2
46: hta_num_9
47: asc_num_20
48: rotb_num_11
49: asc_num_12
50: hbd_num_8
51: htc_num_2
52: rotb_num_27
53: rotb_num_30
54: hba_num_2
55: rotb_num_12
56: asc_num_25
57: hbd_num_12
58: hba_num_10
60: rotb_num_1
61: hba_num_24
62: asc_num_14
63: hta_num_5
64: arh_num_2
65: arh_num_3
66: hbd_num_13
67: hta_num_31
68: asc_num_1
69: hbd_num_16
70: hba_num_3
71: htc_num_0
72: arh_num_4
73: htc_num_7
74: rotb_num_40
75: rotb_num_5
76: hbd_num_3
77: hba_num_20
78: hbd_num_14
79: asc_num_26
80: hba_num_29
81: ah_num_4
82: ah_num_5
83: rotb_num_4
84: hba_num_6
85: hta_num_14
86: hbd_num_4
87: rotb_num_13
88: hta_num_7
89: hbd_num_17
90: asc_num_18
91: arc_num_6
92: hbd_num_2
93: rotb_num_22
94: asc_num_17
95: htc_num_6
96: rotb_num_24
97: hbd_num_10
98: hta_num_27
99: htc_num_22
100: hba_num_22
101: asc_num_4
102: hba_num_1
103: hba_num_14
104: arc_num_5
105: hba_num_25
106: hbd_num_5
107: rotb_num_21
108: hta_num_1
109: hba_num_13
110: hba_num_15
111: arc_num_4
112: hta_num_15
113: hba_num_19
114: hta_num_4
115: hta_num_30
116: hba_num_0
117: hba_num_11
118: arh_num_0
119: ah_num_3
120: hbd_num_7
121: rotb_num_19
122: rotb_num_33
123: hta_num_25
124: asc_num_19
125: asc_num_9
126: hta_num_24
128: rotb_num_9
129: rotb_num_26
130: hta_num_6
131: hba_num_17
132: hba_num_30
133: rotb_num_8
134: hbd_num_1
135: rotb_num_20
136: rotb_num_32
137: rotb_num_3
138: rotb_num_18
139: asc_num_0
140: rotb_num_0
141: rotb_num_15
142: hba_num_26
143: hbd_num_15
144: hba_num_7
145: hba_num_9
146: hta_num_8
147: rotb_num_7
148: htc_num_4
149: hta_num_21
150: ah_num_2
151: hta_num_0
152: hta_num_19
153: arh_num_1
154: asc_num_24
155: hba_num_4
156: hba_num_23
157: hta_num_2
158: hta_num_11
159: hba_num_12
160: hba_num_16
161: hbd_num_0
162: rotb_num_17
163: hta_num_17
164: asc_num_16
165: hta_num_28
166: ah_num_0
167: asc_num_7
168: hta_num_13
169: rotb_num_23
170: htc_num_3
171: asc_num_11
172: asc_num_6
173: hba_num_32
174: ah_num_1
